School,G,W,L,W-LPct,SRS,SOS,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TSPct,TRBPct,ASTPct,STLPct,BLKPct,Season,TeamID
west virginia,33,19,14,0.576,16.53,11.25,2518,2344,69.9,108.8,0.397,0.363,0.558,52,50.6,9.5,8.7,2023,1452
western carolina,33,18,15,0.545,-6.23,-4.2,2457,2340,68.5,106.6,0.34,0.423,0.539,51.4,49.5,7.8,6.4,2023,1441
western illinois,30,16,14,0.533,-7.16,-4.31,2191,2171,68.8,105.7,0.319,0.372,0.542,49.9,51.6,8.4,9,2023,1442
western kentucky,33,17,16,0.515,-1.04,0.87,2355,2330,68.4,103.5,0.315,0.364,0.537,48.3,49.6,9,15,2023,1443
western michigan,31,8,23,0.258,-10.21,-1.99,2166,2295,66.7,104.7,0.265,0.416,0.529,53.4,50.4,6.9,6.4,2023,1444
wichita state,32,17,15,0.531,6.19,3.66,2272,2191,67.8,103.1,0.308,0.372,0.539,51.5,51.5,9.2,11.3,2023,1455
william & mary,33,13,20,0.394,-10.95,-4.14,2219,2320,65.3,102.6,0.306,0.382,0.53,49.6,50.7,9.2,5.7,2023,1456
winthrop,32,15,17,0.469,-6.61,-3.58,2360,2382,67.8,108.4,0.408,0.453,0.592,47.7,46.5,7.5,8.4,2023,1457
wisconsin,32,18,14,0.563,11.14,9.45,2094,2040,63.2,101.2,0.248,0.406,0.51,47,49.1,9.4,4.6,2023,1458
wofford,33,17,16,0.515,-4.86,-3.16,2466,2392,66.4,110.8,0.288,0.39,0.566,51.5,45.5,8.4,6.1,2023,1459
wright state,33,18,15,0.545,-2.15,-5.7,2637,2432,72,108.5,0.242,0.276,0.569,51.6,48,8.5,7.8,2023,1460
wyoming,31,9,22,0.29,2.57,6.67,2144,2234,66.4,103.7,0.332,0.457,0.551,49.3,46.6,7.3,7.5,2023,1461
xavier,34,25,9,0.735,16.35,9,2768,2518,71.8,112.9,0.308,0.313,0.581,54.1,63.8,9.1,7.8,2023,1462
yale,30,21,9,0.7,7.61,-1.82,2273,1897,67.5,111.3,0.3,0.351,0.564,54.2,52.2,9.3,12.6,2023,1463
youngstown state,33,24,9,0.727,1.68,-6.23,2721,2396,69.5,116.4,0.297,0.353,0.588,52,51.4,9.9,6.8,2023,1464
